"","Palabra","Puntuacion","Word"
"850","disturbios",-2,"riots"
"851","diversion",3,"amusement"
"852","diversiones",3,"amusements"
"853","divertidisimo",2,"hilarious"
"854","divertido",3,"amused"
"855","divertido",4,"fun"
"856","dolor",-2,"ache"
"857","dolor",-2,"aching"
"858","dolor",-2,"grief"
"859","dolor",-2,"pain"
"860","dolor",-2,"sorrow"
"861","dolorido",-2,"pained"
"862","dolorido",-1,"sore"
"863","doloroso",-2,"dolorous"
"864","ducha",-3,"douche"
"865","duda",-1,"doubt"
"866","dudado",-1,"doubted"
"867","dudas",-1,"doubts"
"868","dudoso",-1,"doubtful"
"869","dudoso",-2,"dubious"
"870","duele",-2,"hurts"
"871","dulce",2,"sweet"
"872","duro",-2,"harsh"
"873","echar a perder",-2,"messing up"
"874","eficaz",2,"effective"
"875","eficazmente",2,"effectively"
"876","egoismo",-3,"selfishness"
"877","egoista",-3,"selfish"
"878","ejecuciones",-2,"foreclosures"
"879","el alivio",2,"relieving"
"880","el corazon roto",-3,"heartbroken"
"881","elacion",3,"elation"
"882","elegante",2,"chic"
"883","elegante",2,"debonair"
"884","elegante",2,"elegant"
"885","elogiado",2,"commended"
"886","elogiar",2,"commend"
"887","embaraza",-2,"embarrasses"
"888","embarazoso",-2,"embarrassing"
"889","embaucar",-2,"bamboozle"
"890","embellecer",3,"beautify"
"891","emergencia",-2,"emergency"
"892","emocion",3,"excitement"
"893","emocionado",2,"agog"
"894","emocionado",3,"excited"
"895","emocionante",3,"exciting"
"896","empalaga;",-3,"loathes"
"897","empatico",2,"empathetic"
"898","empeora",-3,"worsens"
"899","empeorado",-3,"worsened"
"900","empeoramiento",-3,"worsening"
"901","empeorar",-3,"worsen"
"902","empequenecer",-2,"belittle"
"903","empollando",-2,"brooding"
"904","emprendedor",1,"enterprising"
"905","en mal estado",-2,"messed"
"906","encalar",-3,"whitewash"
"907","encantada",2,"enchanted"
"908","Encantado",3,"delighted"
"909","encantador",3,"charming"
"910","encantador",3,"lovely"
"911","encantados",5,"thrilled"
"912","encanto",3,"charm"
"913","encarcelado",-2,"imprisoned"
"914","encarcelado",-2,"jailed"
"915","enconado",-2,"inflamed"
"916","endosado",2,"endorsed"
"917","endosar",2,"endorse"
"918","enemigo",-2,"enemy"
"919","enemigos",-2,"enemies"
"920","enemigos",-3,"haters"
"921","energetico",2,"energetic"
"922","energico",2,"brisk"
"923","energico",2,"spirited"
"924","enfado",-3,"anger"
"925","enfermedad",-2,"illness"
"926","enfermedades",-2,"illnesses"
"927","enfermo",-2,"ill"
"928","enfermos",-2,"sick"
"929","enfocado",2,"focused"
"930","enfurece",-2,"infuriates"
"931","Enfurecedora",-2,"enraging"
"932","enfurecer",-2,"enrage"
"933","enfurecer",-2,"infuriate"
"934","enfurecido",-2,"enraged"
"935","enfurecido",-2,"infuriated"
"936","engancha",1,"engages"
"937","engana",-3,"deceives"
"938","enganado",-2,"bamboozled"
"939","enganado",-3,"cheated"
"940","enganado",-3,"deceived"
"941","enganado",-2,"duped"
"942","enganar",-3,"cheat"
"943","enganar",-3,"deceive"
"944","enganar",-2,"dupe"
"945","engano",-3,"deceit"
"946","engano",-3,"deception"
"947","enganoso",-3,"deceitful"
"948","enganoso",-3,"deceiving"
"949","enganoso",-3,"misleading"
"950","engreido",-2,"cocky"
"951","enhorabuena",2,"congratulation"
"952","enjuicia",-1,"prosecutes"
"953","enjuiciamiento",-1,"prosecution"
"954","enjuiciar",-1,"prosecute"
"955","enloquecedor",-3,"maddening"
"956","enojado",-3,"angry"
"957","enojado",-3,"mad"
"958","enorme",1,"huge"
"959","enrages",-2,"enrages"
"960","ensordecedor",-1,"deafening"
"961","entender mal",-2,"misunderstand"
"962","entiende mal",-2,"misunderstands"
"963","entretener",3,"amuse"
"964","entretenido",2,"entertaining"
"965","entristecer",-2,"sadden"
"966","entristecido",-2,"saddened"
"967","entumecido",-1,"numb"
"968","entusiasta",3,"enthusiastic"
"969","envenenado",-2,"poisoned"
"970","envidia",-1,"envy"
"971","envidias",-1,"envies"
"972","envidioso",-2,"envious"
"973","envio de correo basura",-2,"spamming"
"974","equivocado",-2,"mistaken"
"975","erroneo",-2,"erroneous"
"976","error",-2,"error"
"977","Error",-2,"mistake"
"978","errores",-2,"errors"
"979","errores",-2,"mistakes"
"980","erupcion",-2,"rash"
"981","es una pena",-2,"ashame"
"982","escalofriante",-1,"chilling"
"983","escandalo",-3,"scandal"
"984","escandalos",-3,"scandals"
"985","escandaloso",-3,"scandalous"
"986","escapa",-1,"escapes"
"987","escapar",-1,"escape"
"988","escapar",-1,"escaping"
"989","escasez",-2,"shortage"
"990","escasez",-2,"shortages"
"991","escepticismo",-2,"skepticism"
"992","esceptico",-2,"sceptical"
"993","esceptico",-2,"skeptic"
"994","esceptico",-2,"skeptical"
"995","escepticos",-2,"skeptics"
"996","esclarecedor",2,"enlightening"
"997","esclavitud",-3,"slavery"
"998","esclaviza",-2,"enslaves"
"999","esclavizado",-2,"enslaved"
"1000","esclavizar",-2,"enslave"
"1001","esconder",-1,"hide"
"1002","escondido",-1,"hid"
"1003","escoria",-4,"scumbag"
"1004","esmeradamente",2,"elegantly"
"1005","espalda",1,"backs"
"1006","espantado",-2,"aghast"
"1007","especulativo",-2,"speculative"
"1008","Espera",-1,"awaits"
"1009","esperado",-1,"awaited"
"1010","esperando",2,"hoping"
"1011","esperanza",2,"hope"
"1012","esperanzado",2,"hopeful"
"1013","esperanzas",2,"hopes"
"1014","esperar",-1,"await"
"1015","espinoso",-2,"thorny"
"1016","espiritu",1,"spirit"
"1017","esplendido",3,"splendid"
"1018","espumoso",3,"sparkling"
"1019","esta de acuerdo",1,"agrees"
"1020","esta de duelo",-2,"mourns"
"1021","estable",2,"stable"
"1022","establecido",1,"vested"
"1023","estafa",-2,"scam"
"1024","estafa",-3,"swindle"
"1025","estafas",-2,"scams"
"1026","estafas",-3,"swindles"
"1027","estampida",-2,"stampede"
"1028","estancado",-2,"stalled"
"1029","estancamiento",-2,"stalling"
"1030","estar al acecho",-1,"lurk"
"1031","estereotipo",-2,"stereotype"
"1032","esteriotipado",-2,"stereotyped"
"1033","estimado",3,"admired"
"1034","estimado",2,"esteemed"
"1035","estimula",1,"stimulates"
"1036","estimulado",1,"stimulated"
"1037","estimulante",3,"exhilarating"
"1038","estimulante",2,"stimulating"
"1039","estimular",1,"stimulate"
"1040","estragos",-2,"havoc"
"1041","estrangulado",-2,"choked"
"1042","estrangulado",-2,"strangled"
"1043","estranguladores",-2,"chokes"
"1044","estresado",-2,"stressed"
"1045","estresor",-2,"stressor"
"1046","estupendo",3,"great"
"1047","estupendo",4,"terrific"
"1048","estupidamente",-2,"stupidly"
"1049","Estupido",-4,"asshole"
"1050","estupido",-2,"stupid"
"1051","etico",2,"ethical"
"1052","euforia",3,"euphoria"
"1053","euforico",4,"euphoric"
"1054","evita",-1,"averts"
"1055","Evita",-1,"avoids"
"1056","evitado",-1,"averted"
"1057","evitado",-1,"avoided"
"1058","evitar",-1,"avert"
"1059","evitar",-1,"avoid"
"1060","evitar",-1,"prevent"
"1061","exagera",-2,"exaggerates"
"1062","exageracion",-2,"overstatement"
"1063","exageraciones",-2,"overstatements"
"1064","exagerado",-2,"exaggerated"
"1065","exagerando",-2,"exaggerating"
"1066","exagerar",-2,"exaggerate"
"1067","exagerar",-2,"oversell"
"1068","exaltado",3,"elated"
"1069","exasperada",2,"exasperated"
"1070","exasperante",-2,"infuriating"
"1071","excelencia",3,"excellence"
"1072","excelente",3,"excellent"
"1073","excepcional",5,"outstanding"
"1074","exceso de peso",-1,"overweight"
"1075","excitar",3,"excite"
"1076","excluidos",-2,"excluded"
"1077","excluir",-1,"exclude"
"1078","exclusion",-1,"exclusion"
"1079","exclusivo",2,"exclusive"
"1080","excusa",-1,"excuse"
"1081","exhaustivo",2,"comprehensive"
"1082","exigente",-1,"demanding"
"1083","exigido",-1,"demanded"
"1084","eximir",-1,"exempt"
"1085","exito",2,"success"
"1086","exito de taquilla",3,"blockbuster"
"1087","exitoso",3,"successful"
"1088","exonera",2,"exonerates"
"1089","exonerado",2,"exonerated"
"1090","exonerando",2,"exonerating"
"1091","exonerar",2,"exonerate"
"1092","expande",1,"expands"
"1093","expandir",1,"expand"
"1094","exploits",-2,"exploits"
"1095","exploracion",1,"exploration"
"1096","exploraciones",1,"explorations"
"1097","explotado",-2,"exploited"
"1098","explotado",-2,"wronged"
"1099","explotando",-2,"exploiting"
"1100","explotar",-2,"exploit"
"1101","expone",-1,"exposes"
"1102","exponer",-1,"expose"
"1103","exposicion",-1,"exposing"
"1104","expuesto",-1,"exposed"
"1105","expulsa",-2,"expels"
"1106","expulsado",-2,"expelled"
"1107","expulsando",-2,"expelling"
"1108","expulsar",-2,"expel"
"1109","extasiar",3,"enrapture"
"1110","extasis",2,"raptures"
"1111","extatico",4,"ecstatic"
"1112","extatico",4,"rapturous"
"1113","extranamente",-1,"strangely"
"1114","extrano",-2,"bizarre"
"1115","extrano",-1,"strange"
"1116","extrano",-2,"weird"
"1117","exuberante",4,"exuberant"
"1118","exultante",3,"exultantly"
"1119","fabuloso",4,"fabulous"
"1120","facil",1,"easy"
"1121","facilitar",2,"ease"
"1122","factores de estres",-2,"stressors"
"1123","faggots",-3,"faggots"
"1124","falla",-2,"fails"
"1125","fallar",-2,"fail"
"1126","falsificacion",-3,"faking"
"1127","falsificaciones",-3,"fakes"
"1128","falsificado",-3,"falsified"
"1129","falsificar",-3,"falsify"
"1130","falso",-2,"dud"
"1131","falso",-3,"fake"
"1132","falta de respeto",-2,"disrespect"
"1133","fama",1,"fame"
"1134","famelico",-2,"starved"
"1135","fanatico",-2,"zealot"
"1136","fanaticos",-2,"zealots"
"1137","fantasma",-1,"ghost"
"1138","fantastico",4,"fantastic"
"1139","farsa",-1,"farce"
"1140","farsa",-2,"hoax"
"1141","fascina",3,"fascinates"
"1142","fascinado",3,"fascinated"
"1143","fascinante",3,"fascinating"
"1144","fascinar",3,"fascinate"
"1145","fascista",-2,"fascist"
"1146","fascistas",-2,"fascists"
"1147","fastidioso",-2,"bothersome"
"1148","fatalidad",-3,"fatality"
"1149","fatiga",-2,"fatigue"
"1150","fatigado",-2,"fatigued"
"1151","fatigas",-2,"fatigues"
"1152","fatigoso",-2,"fatiguing"
"1153","favor",2,"favor"
"1154","favorecido",2,"favored"
"1155","favores",2,"favors"
"1156","favorito",2,"favorite"
"1157","favorito",2,"favorited"
"1158","favoritos",2,"favorites"
"1159","fe",1,"faith"
"1160","felicidad",3,"bliss"
"1161","felicidad",3,"happiness"
"1162","felicidades",2,"congrats"
"1163","felicitaciones",2,"congratulations"
"1164","felicitar",2,"congratulate"
"1165","feliz",3,"blissful"
"1166","feo",-3,"ugly"
"1167","ferviente",2,"fervent"
"1168","fervoroso",2,"fervid"
"1169","festivo",2,"festive"
"1170","fiasco",-3,"fiasco"
"1171","fiel",3,"faithful"
"1172","filtrada",-1,"leaked"
"1173","finge",-1,"pretends"
"1174","fingir",-1,"pretend"
"1175","firme",2,"steadfast"
"1176","flop",-2,"flops"
"1177","fobico",-2,"phobic"
"1178","follada",-4,"fucked"
"1179","fortalece",2,"strengthens"
"1180","fortalecer",2,"strengthen"
"1181","fortalecimiento",2,"strengthening"
"1182","fortificado",2,"strengthened"
"1183","forzado",-1,"forced"
"1184","fracaso",-2,"failure"
"1185","fracaso",-2,"flop"
"1186","fracasos",-2,"failures"
"1187","frase",-2,"sentence"
"1188","frases",-2,"sentences"
"1189","fraude",-4,"fraud"
"1190","fraude",-4,"fraudulence"
"1191","fraudes",-4,"frauds"
"1192","fraudulento",-4,"fraudulent"
"1193","frenesi",-3,"frenzy"
"1194","frenetico",-1,"frantic"
"1195","Fresco",1,"fresh"
"1196","frikin",-2,"frikin"
"1197","frotis",-2,"smear"
"1198","frustra",-2,"frustrates"
"1199","frustracion",-2,"frustration"
"1200","frustrado",-2,"frustrated"
"1201","frustrado",-2,"thwarted"
"1202","frustrante",-2,"frustrating"
"1203","frustrar",-2,"frustrate"
"1204","frustrar",-2,"thwart"
"1205","frustrar",-2,"thwarting"
"1206","ftw",3,"ftw"
"1207","Fuckface",-4,"fuckface"
"1208","fuckhead",-4,"fuckhead"
"1209","fucktard",-4,"fucktard"
"1210","FUD",-3,"fud"
"1211","fuego",-2,"fire"
"1212","fuerte",2,"strong"
"1213","fuerza",2,"strength"
"1214","fuga",-1,"leak"
"1215","fuked",-4,"fuked"
"1216","fuking",-4,"fuking"
"1217","fumante",-2,"fuming"
"1218","funeral",-1,"funeral"
"1219","funerales",-1,"funerals"
"1220","furioso",-3,"furious"
"1221","furtivo",-1,"sneaky"
"1222","futil",2,"futile"
"1223","galante",3,"gallant"
"1224","galanteria",3,"gallantry"
"1225","galardonado",3,"awarded"
"1226","gallardamente",3,"gallantly"
"1227","gamberrismo",-2,"hooliganism"
"1228","gamberro",-2,"hooligan"
"1229","ganado",2,"gained"
"1230","ganador",4,"winner"
"1231","ganancia",2,"gain"
"1232","ganancias",2,"gains"
"1233","ganando",2,"gaining"
"1234","ganar",4,"win"
"1235","garantia",1,"guarantee"
"1236","gemia",-2,"moaned"
"1237","gemido",-2,"moan"
"1238","gemidos",-2,"moaning"
"1239","gemidos",-2,"moans"
"1240","generoso",2,"generous"
"1241","genial",3,"genial"
"1242","gilipollas",-4,"dickhead"
"1243","gilipollas",-3,"douchebag"
"1244","gilipollas",-4,"shithead"
"1245","gilipollas",-3,"wanker"
"1246","glamour",3,"glamourous"
"1247","gloria",2,"glory"
"1248","glorioso",2,"glorious"
"1249","golpe",-2,"slam"
"1250","golpeado",-1,"struck"
"1251","gorron",-2,"bummer"
"1252","gracia",1,"grace"
"1253","gracias",2,"thank"
"1254","Gracias",2,"thanks"
"1255","gracioso",4,"funny"
"1256","grande",1,"big"
"1257","grandioso",3,"grand"
"1258","granizado",2,"hailed"
"1259","granizo",2,"hail"
"1260","gratificacion",2,"gratification"
"1261","gratificante",2,"rewarding"
"1262","gratis",1,"free"
"1263","grave",-2,"severe"
"1264","greenwasher",-3,"greenwasher"
"1265","greenwashers",-3,"greenwashers"
"1266","gripe",-2,"flu"
"1267","gris",-1,"gray"
"1268","gris",-1,"grey"
"1269","gritado",-2,"screamed"
"1270","gritando",-2,"screaming"
"1271","gritar",-2,"scream"
"1272","grito",-2,"outcry"
"1273","guarida",-1,"haunt"
"1274","Guau",4,"wow"
"1275","guay",1,"cool"
"1276","guerra",-2,"war"
"1277","guerra",-2,"warfare"
"1278","gusto",2,"liked"
"1279","gustos",2,"likes"
"1280","ha fallado",-2,"failed"
"1281","habil",2,"nifty"
"1282","habilidades",2,"abilities"
"1283","hacer dano",-2,"harming"
"1284","hacer descarrilar",-2,"derail"
"1285","hacha",-1,"axe"
"1286","hackeado",-1,"hacked"
"1287","hahahah",3,"hahahah"
"1288","hambre",-2,"hunger"
"1289","harto",-3,"fed up"
"1290","herir",-2,"hurt"
"1291","hermosa",3,"beautiful"
"1292","hermosamente",3,"beautifully"
"1293","heroe",2,"hero"
"1294","heroes",2,"heroes"
"1295","heroico",3,"heroic"
"1296","hijo de puta",-5,"motherfucker"
"1297","Hijo de puta",-5,"son-of-a-bitch"
"1298","hijos de puta",-4,"fuckers"
"1299","hipocrita",-2,"hypocritical"
"1300","histeria",-3,"hysteria"
"1301","histerico",-3,"hysterical"
"1302","histerismo",-3,"hysterics"
"1303","homenaje",2,"honoring"
"1304","homenaje",2,"honouring"
"1305","honesto",2,"honest"
"1306","honor",2,"honor"
"1307","honor",2,"honour"
"1308","honrado",2,"honored"
"1309","honrado",2,"honoured"
"1310","hooligans",-2,"hooligans"
"1311","horrendo",-3,"horrendous"
"1312","horrendo",-3,"horrific"
"1313","horrible",-3,"awful"
"1314","horrible",-3,"direful"
"1315","horrible",-3,"horrible"
"1316","horrorizado",-3,"horrified"
"1317","hosco",-2,"sullen"
"1318","hostil",-2,"hostile"
"1319","Huelga",-1,"strike"
"1320","huelgas",-1,"strikes"
"1321","humerous",3,"humerous"
"1322","humillacion",-3,"humiliation"
"1323","humillado",-3,"humiliated"
"1324","humor",2,"humor"
"1325","humor",2,"humour"
"1326","humoristico",2,"humorous"
"1327","Hurra",5,"hurrah"
"1328","huye",-1,"flees"
"1329","idiota",-3,"idiot"
"1330","idiota",-3,"idiotic"
"1331","idiota",-3,"moron"
"1332","ignora",-1,"ignores"
"1333","ignorado",-2,"disregarded"
"1334","ignorado",-2,"ignored"
"1335","ignorancia",-2,"ignorance"
"1336","ignorante",-2,"ignorant"
"1337","ignorar",-1,"ignore"
"1338","ilegal",-3,"illegal"
"1339","Ilumina",2,"enlightens"
"1340","iluminar",2,"enlighten"
"1341","ilustrado",2,"enlightened"
"1342","imbecil",-3,"imbecile"
"1343","imbecil",-3,"jerk"
"1344","imbecil",-2,"mindless"
"1345","impaciente",-2,"impatient"
"1346","impar",-2,"odd"
"1347","Imparable",2,"unstoppable"
"1348","imparcial",2,"unbiased"
"1349","impedido",-1,"prevented"
"1350","imperfecto",-2,"imperfect"
"1351","impermeable",2,"slicker"
"1352","implacable",-1,"relentless"
"1353","impone",-1,"imposes"
"1354","imponente",-1,"imposing"
"1355","imponer",-1,"impose"
"1356","importancia",2,"importance"
"1357","importante",2,"important"
"1358","importar",1,"matter"
"1359","impotente",-2,"impotent"
"1360","impotente",-2,"powerless"
"1361","impresiona",3,"impresses"
"1362","impresionado",3,"impressed"
"1363","impresionado",-2,"unimpressed"
"1364","impresionante",3,"impressive"
"1365","impresionar",3,"impress"
"1366","impuesto",-1,"imposed"
"1367","impulsado",1,"boosted"
"1368","impulsar",1,"boosting"
"1369","inaccion",-2,"inaction"
"1370","inaceptable",-2,"unacceptable"
"1371","inadecuado",-2,"inadequate"
"1372","incapacidad",-2,"inability"
"1373","incapacitado",-2,"incapacitated"
"1374","incapacitante",-1,"disabling"
"1375","incapaz",-2,"incapable"
"1376","incierto",-1,"uncertain"
"1377","incomodo",-2,"uncomfortable"
"1378","incompetencia",-2,"incompetence"
"1379","incompetente",-2,"incompetent"
"1380","incomprendido",-2,"misunderstood"
"1381","inconexo",-2,"disjointed"
"1382","inconfirmado",-1,"unconfirmed"
"1383","inconsciente",-2,"unaware"
"1384","inconveniencia",-2,"inconvenience"
"1385","inconveniente",-2,"inconvenient"
"1386","incorrecto",-2,"wrong"
"1387","incredulo",-1,"unbelieving"
"1388","increible",4,"awesome"
"1389","increible",-1,"unbelievable"
"1390","incrementar",1,"increase"
"1391","incumplida",-2,"unfulfilled"
"1392","indeciso",-2,"indecisive"
"1393","indeciso",-1,"undecided"
"1394","indefenso",-2,"defenseless"
"1395","indefenso",-2,"helpless"
"1396","indeseable",-2,"undesirable"
"1397","indestructible",2,"indestructible"
"1398","indiferencia",-2,"disregard"
"1399","indiferencia",-2,"indifference"
"1400","indiferente",-2,"indifferent"
"1401","indignacion",-2,"indignation"
"1402","indignado",-2,"incensed"
"1403","indignado",-2,"indignant"
"1404","indignados",-3,"outraged"
"1405","indigno de",-2,"unworthy"
"1406","indulgente",1,"forgiving"
"1407","indulgente",1,"lenient"
"1408","indultos",2,"pardons"
"1409","ineficaz",-2,"ineffective"
"1410","ineficazmente",-2,"ineffectively"
"1411","inestable",-1,"unsettled"
"1412","inestable",-2,"unstable"
"1413","infantil",-2,"childish"
"1414","infatuacion",2,"infatuation"
"1415","infectado",-2,"infected"
"1416","infeliz",-2,"unhappy"
"1417","inferior",-2,"inferior"
"1418","infierno",-4,"hell"
"1419","influyente",2,"influential"
"1420","informacion erronea",-2,"misreporting"
"1421","infortunio",-2,"haplessness"
"1422","infraccion",-2,"infringement"
"1423","infractor",-2,"offending"
"1424","ingenuo",-2,"naive"
"1425","inhibir",-1,"inhibit"
"1426","injusticia",-2,"injustice"
"1427","injusto",-2,"unfair"
"1428","injusto",-2,"unjust"
"1429","inmortal",2,"immortal"
"1430","inmovilizado",-1,"immobilized"
"1431","inmune",1,"immune"
"1432","innova",1,"innovates"
"1433","innovacion",1,"innovation"
"1434","innovador",2,"innovative"
"1435","innovar",1,"innovate"
"1436","inquieto",-2,"restless"
"1437","inquisicion",-2,"inquisition"
"1438","inquisitivo",2,"inquisitive"
"1439","insalubre",-2,"unhealthy"
"1440","insano",-2,"insane"
"1441","insatisfecho",-2,"dissatisfied"
"1442","insatisfecho",-2,"unsatisfied"
"1443","inseguro",-1,"doubting"
"1444","inseguro",-2,"insecure"
"1445","inseguro",-1,"unsure"
"1446","insensibilidad",-2,"insensitivity"
"1447","insensible",-2,"insensitive"
"1448","insignificante",-2,"insignificant"
"1449","insipido",-2,"insipid"
"1450","insistente",-1,"pushy"
"1451","insomnio",-2,"sleeplessness"
"1452","inspira",2,"inspires"
"1453","inspiracion",2,"inspiration"
"1454","Inspirado",2,"inspirational"
"1455","inspirado",2,"inspired"
"1456","inspirador",3,"inspiring"
"1457","inspirar",2,"inspire"
"1458","insultado",-2,"insulted"
"1459","insultante",-2,"insulting"
"1460","insulto",-2,"insult"
"1461","insultos",-2,"insults"
"1462","intacto",2,"intact"
"1463","integridad",2,"integrity"
"1464","inteligente",2,"clever"
"1465","inteligente",2,"intelligent"
"1466","inteligente",1,"smart"
"1467","intenso",1,"intense"
"1468","interesado",2,"interested"
"1469","interesante",2,"interesting"
"1470","interesar",1,"interest"
"1471","intereses",1,"interests"
"1472","interrogado",-2,"interrogated"
"1473","interrogatorio",-1,"questioning"
"1474","interrumpido",-2,"interrupted"
"1475","interrumpiendo",-2,"interrupting"
"1476","interrumpir",-2,"interrupt"
"1477","interrupcion",-2,"interruption"
"1478","interrupciones",-2,"disruptions"
"1479","interrupciones",-2,"interrupts"
"1480","intimida",-2,"intimidates"
"1481","intimidacion",-2,"intimidation"
"1482","intimidante",-2,"intimidating"
"1483","intimidar",-2,"intimidate"
"1484","intimidar",-2,"intimidated"
"1485","intitulado",1,"entitled"
"1486","intrepido",2,"dauntless"
"1487","intrigas",1,"intrigues"
"1488","intrincado",2,"intricate"
"1489","inutil",-2,"useless"
"1490","inutilidad",-2,"uselessness"
"1491","invencible",2,"invincible"
"1492","invitacion",1,"invite"
"1493","invulnerable",2,"invulnerable"
"1494","ironia",-1,"irony"
"1495","ironico",-1,"ironic"
"1496","irracional",-1,"irrational"
"1497","irresistible",2,"irresistible"
"1498","irresoluto",-2,"irresolute"
"1499","irresponsable",2,"irresponsible"
"1500","irreversible",-1,"irreversible"
"1501","irritado",-2,"annoyed"
"1502","irritado",-3,"irritated"
"1503","irritante",-3,"irritating"
"1504","irritante",-2,"vexing"
"1505","irritar",-3,"irritate"
"1506","jackasses",-4,"jackasses"
"1507","jactancioso",-2,"boastful"
"1508","jaja",3,"haha"
"1509","jajaja",3,"hahaha"
"1510","Jesus",1,"jesus"
"1511","jocoso",2,"jocular"
"1512","jovial",2,"jovial"
"1513","joya",1,"jewel"
"1514","joyas",1,"jewels"
"1515","jubiloso",3,"exultant"
"1516","jubiloso",3,"gleeful"
"1517","jubiloso",3,"joyous"
"1518","jubiloso",3,"jubilant"
"1519","jugueton",2,"playful"
"1520","juicio hipotecario",-2,"foreclosure"
"1521","jura",-2,"swears"
"1522","jurar",-2,"swear"
"1523","justa",2,"fair"
"1524","justicia",2,"justice"
"1525","justificadamente",2,"justifiably"
"1526","justificado",2,"justified"
"1527","juvenil",2,"youthful"
"1528","kills",-3,"kills"
"1529","Kinder",2,"kinder"
"1530","la prevencion",-1,"preventing"
"1531","la resolucion",1,"solving"
"1532","la seguridad",1,"safety"
"1533","ladron",-2,"robber"
"1534","lag",-2,"lagged"
"1535","lagrimas",-2,"tears"
"1536","lamentable",-3,"woeful"
"1537","lamentando",-2,"regretting"
"1538","lamentar",-2,"regret"
"1539","lamentar",-2,"regretted"
"1540","languido",-2,"lackadaisical"
"1541","lanzado",1,"launched"
"1542","lastima",-2,"pity"
"1543","lastimoso",-2,"piteous"
"1544","late",-2,"annoys"
"1545","latoso",-2,"annoying"
"1546","laughting",1,"laughting"
"1547","lavado del cerebro",-3,"brainwashing"
"1548","lavado verde",-3,"green wash"
"1549","lavado verde",-3,"green washing"
"1550","lavado verde",-3,"greenwash"
"1551","lavado verde",-3,"greenwashing"
"1552","lawl",3,"lawl"
"1553","leal",3,"loyal"
"1554","lealtad",3,"loyalty"
"1555","leer mal",-1,"misread"
"1556","legal",1,"legal"
"1557","legalmente",1,"legally"
"1558","lento",-2,"sluggish"
"1559","lesion",-2,"injury"
"1560","lesionado",-2,"injured"
"1561","letargico",-2,"lethargic"
"1562","letargo",-2,"lethargy"
"1563","libertad",2,"freedom"
"1564","limitacion",-1,"limitation"
"1565","limitado",-1,"limited"
"1566","limites",-1,"limits"
"1567","limpiador",2,"cleaner"
"1568","limpiar",2,"clean"
"1569","linda",2,"cute"
"1570","lio",-2,"mess"
"1571","listo",-2,"poised"
"1572","litigio",-1,"litigation"
"1573","litigioso",-2,"litigious"
"1574","livido",-2,"livid"
"1575","llanto",-2,"weeping"
"1576","llantos",-2,"cries"
"1577","llegar",1,"reaching"
"1578","lleno de alegria",4,"overjoyed"
"1579","lleno de savia",-1,"sappy"
"1580","llorado",-2,"cried"
"1581","llorado",-2,"mourned"
"1582","llorando",-2,"crying"
"1583","llorar",-1,"cry"
"1584","llorar",-2,"mourn"
"1585","llorar",-2,"weep"
"1586","lluvioso",-1,"rainy"
"1587","lmao",4,"lmao"
"1588","lmfao",4,"lmfao"
"1589","lo siento",-1,"sorry"
"1590","loca",-2,"crazy"
"1591","locamente",-3,"madly"
"1592","loco",-2,"crazier"
"1593","locos",-3,"lunatics"
"1594","locura",-2,"insanity"
"1595","Locura",-3,"madness"
"1596","logra",2,"accomplishes"
"1597","lol",3,"lol"
"1598","los spammers",-3,"spammers"
"1599","lovelies",3,"lovelies"
"1600","lucha",-1,"fight"
"1601","lucha",-2,"struggle"
"1602","luchado",-2,"struggled"
"1603","luchando",-2,"struggling"
"1604","luchas",-2,"struggles"
"1605","lugubre",-2,"lugubrious"
"1606","lunatico",-3,"lunatic"
"1607","luto",-2,"mourning"
"1608","maduro",2,"mature"
"1609","magnifico",5,"superb"
"1610","mal",-3,"badly"
"1611","mal",-3,"evil"
"1612","mal comportamiento",-2,"misbehaving"
"1613","mal humor",-2,"sulking"
"1614","mal informado",-2,"misinformed"
"1615","maldicion",-1,"curse"
"1616","maldicion",-4,"damnit"
"1617","Maldita sea",-4,"damn"
"1618","maldito",-4,"damned"
"1619","maldito",-4,"fucking"
"1620","maldito",-3,"goddamn"
"1621","maldito",-2,"pesky"
"1622","malentendido",-2,"misunderstanding"
"1623","males",-1,"mischiefs"
"1624","malevolo",-2,"spiteful"
"1625","malhumorado",-2,"mumpish"
"1626","malhumorado",-2,"sulky"
"1627","malinterpretado",-2,"misinterpreted"
"1628","malo",-3,"bad"
"1629","malvado",-2,"wicked"
"1630","mancha",2,"slick"
"1631","manifestantes",-2,"protesters"
"1632","manipulacion",-1,"manipulating"
"1633","manipulacion",-1,"manipulation"
"1634","manipulado",-1,"manipulated"
"1635","maravilla",3,"marvel"
"1636","maravillas",3,"marvels"
"1637","maravilloso",3,"marvelous"
"1638","maravilloso",4,"stunning"
"1639","maravilloso",4,"wonderful"
"1640","mareado",-1,"dizzy"
"1641","mareado",-2,"giddy"
"1642","maricon",-3,"fag"
"1643","maricon",-3,"faggot"
"1644","mas baja",-1,"lowest"
"1645","mas brillante",2,"brightest"
"1646","mas divertido",4,"funnier"
"1647","mas duras",-2,"harshest"
"1648","mas duro",-2,"harsher"
"1649","mas fuerte",2,"stronger"
"1650","mas fuerte",2,"strongest"
"1651","mas inteligente",2,"smarter"
"1652","mas inteligente",2,"smartest"
"1653","mas loca",-2,"craziest"
"1654","mas oscura",-2,"darkest"
"1655","mas pobre",-2,"poorer"
